INFO:root:[TRAINING] Epoch: 0 | Step: 100 | Running loss avg: 4.1032
INFO:root:[TRAINING] Epoch: 0 | Step: 200 | Running loss avg: 3.8148
INFO:root:[TRAINING] Epoch: 0 | Step: 300 | Running loss avg: 3.7649
INFO:root:[TRAINING] Epoch: 0 | Step: 400 | Running loss avg: 3.7604
INFO:root:[TRAINING] Epoch: 0 | Step: 500 | Running loss avg: 3.6715
INFO:root:[TRAINING] Epoch: 0 | Step: 600 | Running loss avg: 3.5575
INFO:root:[TRAINING] Epoch: 0 | Step: 700 | Running loss avg: 3.5278
INFO:root:[TRAINING] Epoch: 0 | Step: 800 | Running loss avg: 3.4512
INFO:root:[TRAINING] Epoch: 0 | Step: 900 | Running loss avg: 3.4133
INFO:root:[TRAINING] Epoch: 0 | Step: 1000 | Running loss avg: 3.3275
INFO:root:[TRAINING] Epoch: 0 | Step: 1100 | Running loss avg: 3.3460
INFO:root:[TRAINING] Epoch: 0 | Step: 1200 | Running loss avg: 3.2900
INFO:root:[TRAINING] Epoch: 0 | Step: 1300 | Running loss avg: 3.1963
INFO:root:[TRAINING] Epoch: 0 | Step: 1400 | Running loss avg: 3.1250
INFO:root:[TRAINING] Epoch: 0 | Step: 1500 | Running loss avg: 3.0732
INFO:root:[TRAINING] Epoch: 0 | Step: 1600 | Running loss avg: 3.0092
INFO:root:[TRAINING] Epoch 0 concluded | Average epoch loss: 3.4449 | Average speed: 6377.13 wps
INFO:root:[TRAINING] Epoch: 1 | Step: 100 | Running loss avg: 2.9583
INFO:root:[TRAINING] Epoch: 1 | Step: 200 | Running loss avg: 2.8974
INFO:root:[TRAINING] Epoch: 1 | Step: 300 | Running loss avg: 2.8511
INFO:root:[TRAINING] Epoch: 1 | Step: 400 | Running loss avg: 2.7973
INFO:root:[TRAINING] Epoch: 1 | Step: 500 | Running loss avg: 2.7843
INFO:root:[TRAINING] Epoch: 1 | Step: 600 | Running loss avg: 2.7810
INFO:root:[TRAINING] Epoch: 1 | Step: 700 | Running loss avg: 2.7301
INFO:root:[TRAINING] Epoch: 1 | Step: 800 | Running loss avg: 2.6935
INFO:root:[TRAINING] Epoch: 1 | Step: 900 | Running loss avg: 2.6336
INFO:root:[TRAINING] Epoch: 1 | Step: 1000 | Running loss avg: 2.6164
INFO:root:[TRAINING] Epoch: 1 | Step: 1100 | Running loss avg: 2.6015
INFO:root:[TRAINING] Epoch: 1 | Step: 1200 | Running loss avg: 2.5868
INFO:root:[TRAINING] Epoch: 1 | Step: 1300 | Running loss avg: 2.5627
INFO:root:[TRAINING] Epoch: 1 | Step: 1400 | Running loss avg: 2.5344
INFO:root:[TRAINING] Epoch: 1 | Step: 1500 | Running loss avg: 2.5178
INFO:root:[TRAINING] Epoch: 1 | Step: 1600 | Running loss avg: 2.4767
INFO:root:[TRAINING] Epoch 1 concluded | Average epoch loss: 2.6810 | Average speed: 6443.40 wps
INFO:root:[TRAINING] Epoch: 2 | Step: 100 | Running loss avg: 2.4638
INFO:root:[TRAINING] Epoch: 2 | Step: 200 | Running loss avg: 2.4574
INFO:root:[TRAINING] Epoch: 2 | Step: 300 | Running loss avg: 2.4666
INFO:root:[TRAINING] Epoch: 2 | Step: 400 | Running loss avg: 2.4128
INFO:root:[TRAINING] Epoch: 2 | Step: 500 | Running loss avg: 2.4343
INFO:root:[TRAINING] Epoch: 2 | Step: 600 | Running loss avg: 2.4411
INFO:root:[TRAINING] Epoch: 2 | Step: 700 | Running loss avg: 2.3996
INFO:root:[TRAINING] Epoch: 2 | Step: 800 | Running loss avg: 2.4014
INFO:root:[TRAINING] Epoch: 2 | Step: 900 | Running loss avg: 2.3694
INFO:root:[TRAINING] Epoch: 2 | Step: 1000 | Running loss avg: 2.3841
INFO:root:[TRAINING] Epoch: 2 | Step: 1100 | Running loss avg: 2.3409
INFO:root:[TRAINING] Epoch: 2 | Step: 1200 | Running loss avg: 2.3470
INFO:root:[TRAINING] Epoch: 2 | Step: 1300 | Running loss avg: 2.3299
INFO:root:[TRAINING] Epoch: 2 | Step: 1400 | Running loss avg: 2.3320
INFO:root:[TRAINING] Epoch: 2 | Step: 1500 | Running loss avg: 2.3125
INFO:root:[TRAINING] Epoch: 2 | Step: 1600 | Running loss avg: 2.3262
INFO:root:[TRAINING] Epoch 2 concluded | Average epoch loss: 2.3845 | Average speed: 6435.76 wps
INFO:root:[TRAINING] Epoch: 3 | Step: 100 | Running loss avg: 2.2731
INFO:root:[TRAINING] Epoch: 3 | Step: 200 | Running loss avg: 2.2809
INFO:root:[TRAINING] Epoch: 3 | Step: 300 | Running loss avg: 2.2556
INFO:root:[TRAINING] Epoch: 3 | Step: 400 | Running loss avg: 2.2536
INFO:root:[TRAINING] Epoch: 3 | Step: 500 | Running loss avg: 2.2495
INFO:root:[TRAINING] Epoch: 3 | Step: 600 | Running loss avg: 2.2327
INFO:root:[TRAINING] Epoch: 3 | Step: 700 | Running loss avg: 2.2360
INFO:root:[TRAINING] Epoch: 3 | Step: 800 | Running loss avg: 2.2334
INFO:root:[TRAINING] Epoch: 3 | Step: 900 | Running loss avg: 2.2182
INFO:root:[TRAINING] Epoch: 3 | Step: 1000 | Running loss avg: 2.2291
INFO:root:[TRAINING] Epoch: 3 | Step: 1100 | Running loss avg: 2.2305
INFO:root:[TRAINING] Epoch: 3 | Step: 1200 | Running loss avg: 2.2071
INFO:root:[TRAINING] Epoch: 3 | Step: 1300 | Running loss avg: 2.1977
INFO:root:[TRAINING] Epoch: 3 | Step: 1400 | Running loss avg: 2.2059
INFO:root:[TRAINING] Epoch: 3 | Step: 1500 | Running loss avg: 2.1785
INFO:root:[TRAINING] Epoch: 3 | Step: 1600 | Running loss avg: 2.2010
INFO:root:[TRAINING] Epoch 3 concluded | Average epoch loss: 2.2278 | Average speed: 6419.49 wps
INFO:root:[TRAINING] Epoch: 4 | Step: 100 | Running loss avg: 2.1715
INFO:root:[TRAINING] Epoch: 4 | Step: 200 | Running loss avg: 2.1662
INFO:root:[TRAINING] Epoch: 4 | Step: 300 | Running loss avg: 2.1468
INFO:root:[TRAINING] Epoch: 4 | Step: 400 | Running loss avg: 2.1482
INFO:root:[TRAINING] Epoch: 4 | Step: 500 | Running loss avg: 2.1492
INFO:root:[TRAINING] Epoch: 4 | Step: 600 | Running loss avg: 2.1454
INFO:root:[TRAINING] Epoch: 4 | Step: 700 | Running loss avg: 2.1283
INFO:root:[TRAINING] Epoch: 4 | Step: 800 | Running loss avg: 2.1588
INFO:root:[TRAINING] Epoch: 4 | Step: 900 | Running loss avg: 2.1282
INFO:root:[TRAINING] Epoch: 4 | Step: 1000 | Running loss avg: 2.1275
INFO:root:[TRAINING] Epoch: 4 | Step: 1100 | Running loss avg: 2.1160
INFO:root:[TRAINING] Epoch: 4 | Step: 1200 | Running loss avg: 2.1046
INFO:root:[TRAINING] Epoch: 4 | Step: 1300 | Running loss avg: 2.1115
INFO:root:[TRAINING] Epoch: 4 | Step: 1400 | Running loss avg: 2.1124
INFO:root:[TRAINING] Epoch: 4 | Step: 1500 | Running loss avg: 2.1037
INFO:root:[TRAINING] Epoch: 4 | Step: 1600 | Running loss avg: 2.1130
INFO:root:[TRAINING] Epoch 4 concluded | Average epoch loss: 2.1303 | Average speed: 6389.02 wps
INFO:root:[TRAINING] Epoch: 5 | Step: 100 | Running loss avg: 2.0937
INFO:root:[TRAINING] Epoch: 5 | Step: 200 | Running loss avg: 2.0716
INFO:root:[TRAINING] Epoch: 5 | Step: 300 | Running loss avg: 2.1005
INFO:root:[TRAINING] Epoch: 5 | Step: 400 | Running loss avg: 2.0573
INFO:root:[TRAINING] Epoch: 5 | Step: 500 | Running loss avg: 2.0531
INFO:root:[TRAINING] Epoch: 5 | Step: 600 | Running loss avg: 2.0867
INFO:root:[TRAINING] Epoch: 5 | Step: 700 | Running loss avg: 2.0586
INFO:root:[TRAINING] Epoch: 5 | Step: 800 | Running loss avg: 2.0711
INFO:root:[TRAINING] Epoch: 5 | Step: 900 | Running loss avg: 2.0762
INFO:root:[TRAINING] Epoch: 5 | Step: 1000 | Running loss avg: 2.0867
INFO:root:[TRAINING] Epoch: 5 | Step: 1100 | Running loss avg: 2.0578
INFO:root:[TRAINING] Epoch: 5 | Step: 1200 | Running loss avg: 2.0566
INFO:root:[TRAINING] Epoch: 5 | Step: 1300 | Running loss avg: 2.0672
INFO:root:[TRAINING] Epoch: 5 | Step: 1400 | Running loss avg: 2.0476
INFO:root:[TRAINING] Epoch: 5 | Step: 1500 | Running loss avg: 2.0451
INFO:root:[TRAINING] Epoch: 5 | Step: 1600 | Running loss avg: 2.0312
INFO:root:[TRAINING] Epoch 5 concluded | Average epoch loss: 2.0660 | Average speed: 6418.57 wps
INFO:root:[TRAINING] Epoch: 6 | Step: 100 | Running loss avg: 2.0177
INFO:root:[TRAINING] Epoch: 6 | Step: 200 | Running loss avg: 2.0275
INFO:root:[TRAINING] Epoch: 6 | Step: 300 | Running loss avg: 2.0197
INFO:root:[TRAINING] Epoch: 6 | Step: 400 | Running loss avg: 2.0245
INFO:root:[TRAINING] Epoch: 6 | Step: 500 | Running loss avg: 2.0255
INFO:root:[TRAINING] Epoch: 6 | Step: 600 | Running loss avg: 2.0196
INFO:root:[TRAINING] Epoch: 6 | Step: 700 | Running loss avg: 2.0081
INFO:root:[TRAINING] Epoch: 6 | Step: 800 | Running loss avg: 1.9948
INFO:root:[TRAINING] Epoch: 6 | Step: 900 | Running loss avg: 1.9991
INFO:root:[TRAINING] Epoch: 6 | Step: 1000 | Running loss avg: 2.0248
INFO:root:[TRAINING] Epoch: 6 | Step: 1100 | Running loss avg: 2.0139
INFO:root:[TRAINING] Epoch: 6 | Step: 1200 | Running loss avg: 1.9877
INFO:root:[TRAINING] Epoch: 6 | Step: 1300 | Running loss avg: 2.0157
